dataset,group,method,replicates,source,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auprc_mean,auprc_std,roc_auc_mean,roc_auc_std
complementary_2026,simulated,GapClust,1,R baseline on count-compatible input,0.062953995157385,0.0,0.0329113924050633,0.0,0.722222222222222,0.0,0.0602181316843825,0.0,0.592723844979,0.0
complementary_2026,simulated,RaceID,1,R baseline on count-compatible input,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
complementary_2027,simulated,FiRE,1,R baseline on count-compatible input,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.019696516053715,0.0,0.288254104620084,0.0
complementary_2027,simulated,GapClust,1,R baseline on count-compatible input,0.0715268225584594,0.0,0.0376266280752533,0.0,0.722222222222222,0.0,0.039860903336848,0.0,0.588404448262696,0.0
complementary_2027,simulated,RaceID,1,R baseline on count-compatible input,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
complementary_2028,simulated,FiRE,1,R baseline on count-compatible input,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.0298825508315217,0.0,0.393088965253914,0.0
complementary_2028,simulated,GapClust,1,R baseline on count-compatible input,0.0841799709724238,0.0,0.0444104134762634,0.0,0.805555555555556,0.0,0.0550330025466243,0.0,0.656643757159221,0.0
complementary_2028,simulated,RaceID,1,R baseline on count-compatible input,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
complementary_2029,simulated,FiRE,1,R baseline on count-compatible input,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.029184857286129,0.0,0.476827987781596,0.0
complementary_2029,simulated,GapClust,1,R baseline on count-compatible input,0.086053412462908,0.0,0.0454545454545455,0.0,0.805555555555556,0.0,0.107783448395124,0.0,0.711173157693776,0.0
complementary_2029,simulated,RaceID,1,R baseline on count-compatible input,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
